,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
0,codrington,40,AU,1574009819,88,-28.95,153.24,68.0,5.44
1,husavik,65,CA,1574010064,89,50.56,-96.99,26.01,4.0
2,vangaindrano,62,MG,1574010064,73,-23.35,47.6,78.49,6.04
3,arraial do cabo,75,BR,1574009802,65,-22.97,-42.02,77.0,13.87
4,saint-georges,34,CA,1574010065,40,46.12,-70.67,26.01,1.01
5,carnarvon,8,ZA,1574009781,22,-30.97,22.13,64.36,20.85
6,kapit,100,MY,1574009889,99,2.02,112.94,72.23,1.28
7,hilo,20,US,1574009825,88,19.71,-155.08,71.6,3.36
8,bredasdorp,84,ZA,1574009789,51,-34.53,20.04,62.6,13.87
9,benalla,100,AU,1574010022,70,-36.55,145.99,48.2,3.36
10,nanortalik,100,GL,1574009915,78,60.14,-45.24,34.83,26.08
11,tiznit,0,MA,1574010068,54,29.7,-9.73,54.32,5.68
12,saint-philippe,1,CA,1574009853,61,45.36,-73.48,27.0,5.82
13,punta arenas,75,CL,1574009772,53,-53.16,-70.91,51.8,24.16
14,tasiilaq,75,GL,1574009921,68,65.61,-37.64,28.4,29.97
15,abu kamal,0,SY,1574010070,23,34.45,40.92,56.68,9.82
16,mashhad,88,IR,1574010070,48,36.3,59.61,41.0,6.93
17,khuzdar,98,PK,1574010071,35,27.8,66.62,53.87,4.43
18,busselton,27,AU,1574009786,61,-33.64,115.35,60.01,11.45
19,hobart,100,AU,1574010071,53,-42.88,147.33,51.8,19.46
20,atuona,18,PF,1574009799,73,-9.8,-139.03,79.18,14.97
21,saldanha,67,PT,1574009902,81,41.42,-6.55,41.65,10.65
22,benghazi,30,LY,1574010073,48,32.12,20.07,72.27,11.21
23,georgetown,75,GY,1574009592,70,6.8,-58.16,87.8,9.17
24,bathsheba,20,BB,1574009801,66,13.22,-59.52,86.0,8.05
25,khorol,30,UA,1574010074,85,49.78,33.27,39.18,7.52
26,sakaiminato,75,JP,1574010074,67,35.55,133.23,59.0,13.87
27,bluff,0,AU,1574009804,82,-23.58,149.07,70.11,11.5
28,tiarei,75,PF,1574010075,74,-17.53,-149.33,80.6,3.36
29,salalah,20,OM,1574009826,57,17.01,54.1,78.8,6.93
30,yarada,20,IN,1574010077,83,17.65,83.27,80.6,4.7
31,marataizes,99,BR,1574010043,83,-21.04,-40.82,73.56,7.27
32,severo-kurilsk,80,RU,1574009882,76,50.68,156.12,23.32,13.65
33,nikolskoye,100,RU,1574009886,87,59.7,30.79,46.0,4.47
34,vitim,100,RU,1574010078,95,59.44,112.57,-18.65,1.14
35,new norfolk,100,AU,1574009799,53,-42.78,147.06,51.8,19.46
36,sitka,0,US,1574009828,53,37.17,-99.65,51.01,8.01
37,san cristobal,85,HN,1574010081,68,14.68,-86.92,73.63,5.12
38,waitati,100,NZ,1574010082,90,-45.75,170.57,45.0,15.99
39,kavieng,100,PG,1574010082,72,-2.57,150.8,82.36,3.67
40,bay roberts,20,CA,1574010082,55,47.58,-53.28,37.99,36.91
41,kapaa,20,US,1574009784,94,22.08,-159.32,75.2,9.17
42,chokurdakh,100,RU,1574009819,99,70.62,147.9,-11.42,7.36
43,kargil,100,PK,1574010084,50,34.56,76.13,16.34,5.26
44,kavaratti,0,IN,1574009892,76,10.57,72.64,83.14,5.88
45,koumac,6,NC,1574010085,90,-20.56,164.28,66.45,3.09
46,kaitangata,100,NZ,1574009951,73,-46.28,169.85,48.58,17.67
47,esperance,90,AU,1574009848,100,-33.86,121.89,59.0,10.29
48,ferme-neuve,97,CA,1574010086,56,46.7,-75.45,26.4,6.44
49,huarmey,0,PE,1574010087,47,-10.07,-78.15,78.55,11.25
50,albany,20,US,1574009700,40,42.65,-73.75,35.01,3.36
51,gurupi,100,BR,1574009817,93,-11.73,-49.07,74.44,4.7
52,aksarka,100,RU,1574009880,98,66.56,67.8,-18.4,13.91
53,touros,75,BR,1574009940,58,-5.2,-35.46,86.0,13.87
54,hami,26,CN,1574009844,24,42.84,93.51,19.63,4.76
55,bolotnoye,100,RU,1574010089,93,55.67,84.39,17.28,14.29
56,limon,1,US,1574009817,80,39.26,-103.69,44.01,13.4
57,klyuchi,100,RU,1574010090,75,52.25,79.17,24.85,14.83
58,norman wells,90,CA,1574009917,77,65.28,-126.83,-2.2,2.24
59,chaumont,100,FR,1574010092,93,48.11,5.14,39.2,5.82
60,whitianga,91,NZ,1574010092,97,-36.83,175.7,63.0,3.0
61,petatlan,75,MX,1574010093,66,17.52,-101.27,86.0,4.7
62,anniston,1,US,1574010094,48,33.66,-85.83,62.6,6.93
63,vaini,83,IN,1574009773,75,15.34,74.49,70.61,6.64
64,mataura,98,NZ,1574009780,91,-46.19,168.86,44.01,8.01
65,general roca,96,AR,1574009680,22,-39.03,-67.58,77.0,11.41
66,gat,100,SN,1574010096,52,14.69,-16.54,98.6,9.17
67,sao filipe,18,CV,1574009839,83,14.9,-24.5,73.94,15.66
68,jamestown,3,AU,1574009793,37,-33.21,138.6,55.71,5.14
69,simplicio mendes,66,BR,1574010098,31,-7.85,-41.91,96.71,4.03
70,rikitea,0,PF,1574009814,84,-23.12,-134.97,75.18,12.68
71,ribeira grande,20,PT,1574009820,72,38.52,-28.7,68.0,10.29
72,yellowknife,90,CA,1574009782,84,62.45,-114.38,5.0,16.11
73,coihaique,90,CL,1574009821,87,-45.58,-72.07,46.4,3.36
74,owando,96,CG,1574010100,95,-0.49,15.91,73.72,2.3
75,arman,52,RU,1574010100,70,59.7,150.17,13.66,16.06
76,faanui,95,PF,1574009803,90,-16.48,-151.75,76.33,13.6
77,ushuaia,75,AR,1574009559,75,-54.81,-68.31,46.4,26.4
78,thinadhoo,34,MV,1574010101,77,0.53,72.93,82.65,16.17
79,torbay,20,CA,1574009893,55,47.66,-52.73,37.99,36.91
80,verkhnevilyuysk,100,RU,1574010102,95,63.45,120.31,-12.17,6.96
81,la asuncion,69,AR,1574010103,32,-26.05,-65.39,83.14,9.48
82,port alfred,25,ZA,1574009855,82,-33.59,26.89,62.01,5.99
83,cape town,20,ZA,1574009622,48,-33.93,18.42,64.0,23.04
84,hermanus,44,ZA,1574009801,56,-34.42,19.24,62.01,5.99
85,marawi,65,PH,1574009939,94,8.0,124.29,75.99,4.0
86,ilinskiy,100,RU,1574010105,93,55.62,38.12,43.0,4.47
87,puerto ayora,75,EC,1574009828,61,-0.74,-90.35,77.0,16.11
88,hlobyne,14,UA,1574010107,81,49.39,33.25,40.23,7.99
89,bethel,90,US,1574009876,84,60.79,-161.76,8.6,8.05
